Sensor0,Sensor1,Sensor2,Sensor3,Sensor4
91,19,85,47,83
15,41,11,,29
25,16,82,31,93
89,15,,97,
44,84,89,,99
35,4,23,42,3
22,46,24,61,60
29,3,46,93,
92,99,88,,8
4,21,46,72,11
,71,84,,88
9,88,74,73,61
79,67,82,11,57
0,18,,11,73
28,17,41,84,
49,62,46,13,19
,,10,46,
,,53,47,
64,54,76,18,44
55,,68,32,
9,35,,48,72
1,83,,,
40,38,77,40,
,1,84,71,
6,33,91,,93
40,11,77,67,10
98,78,4,67,75
83,44,9,23,56
42,24,13,6,
17,16,5,72,56
60,44,40,46,
62,17,93,59,44
87,82,78,,67
4,84,,29,59
48,7,95,15,68
96,40,74,,52
,20,23,,
64,,24,40,24
19,67,18,,30
,5,87,78,
74,23,19,67,
84,35,4,59,63
,,8,57,3
71,51,56,74,1
80,,65,10,
,33,,11,98
57,33,0,42,55
34,11,92,49,57
78,88,65,74,92
96,28,10,35,81
51,20,51,55,80
17,44,2,38,87
49,80,14,6,43
39,,59,54,13
52,73,71,,81
91,,40,29,67
25,,,55,17
16,88,,40,1
28,65,0,,49
31,16,99,14,56
20,86,45,,73
23,,51,32,56
,6,71,3,85
,48,56,,42
21,73,32,,99
,31,83,50,7
75,92,56,8,
78,77,56,57,26
21,3,,13,78
20,85,97,56,57
13,,48,27,62
55,39,14,24,56
,,76,5,
84,86,,99,37
2,,,,
54,,68,,39
,88,,23,14
0,42,,42,75
78,41,,50,80
65,45,3,,12
17,68,28,15,50
45,47,66,66,39
37,30,20,54,29
85,95,20,66,93
94,,42,8,29
71,,,,55
60,97,77,37,36
96,,90,89,63
92,63,38,16,
41,,,7,92
28,58,,55,84
,74,53,68,70
63,,,,
2,51,,43,8
53,63,43,55,22
,29,11,90,5
80,46,27,93,
89,16,91,52,28
67,,53,,64
28,84,,77,3
71,12,86,29,20
81,37,21,28,68
39,95,,21,10
,14,0,,87
8,76,98,55,52
16,13,66,77,
99,4,48,60,46
36,48,79,,9
,62,,89,
,42,,36,47
11,,71,7,81
59,89,86,48,62
83,96,8,40,74
,16,55,40,85
,96,16,38,85
29,2,99,,
36,20,34,27,35
,36,96,,8
72,38,33,6,81
33,15,93,81,
9,50,75,5,5
81,65,79,61,29
28,30,,,39
82,1,99,,
40,47,4,87,
66,,,,15
59,,10,,97
95,22,52,69,41
,,46,16,92
22,33,49,83,3
,,60,,83
52,24,53,83,88
16,2,,8,51
52,96,66,57,22
10,10,1,76,38
31,93,50,36,
88,33,,89,
46,97,27,14,76
26,8,,56,73
17,65,,83,22
,12,68,,73
44,5,57,39,
89,32,28,,94
73,80,74,8,71
15,,59,0,90
19,67,77,72,49
0,,78,,52
,98,63,,57
31,53,89,77,
54,54,5,62,22
82,92,64,,28
17,,48,32,34
47,86,47,63,42
57,,40,58,
,24,55,,33
27,60,71,53,10
98,55,99,5,53
25,77,83,30,58
14,30,47,82,60
,59,57,67,5
24,58,91,65,
,24,5,,80
61,59,56,80,19
90,86,13,,96
,,,80,82
58,,,,29
10,58,30,91,72
97,95,,,
95,48,,31,66
,,,81,85
65,62,49,,30
15,69,17,89,8
80,48,64,52,82
26,24,76,33,90
22,88,99,,89
60,58,,,
3,6,17,,41
76,50,3,50,2
9,94,86,52,
54,22,8,44,61
67,21,28,84,98
44,3,35,39,55
,9,71,44,13
61,38,78,,27
,25,,66,9
4,94,34,69,14
15,,85,8,16
,85,45,39,53
44,9,12,7,
76,61,31,64,52
40,59,54,28,
71,20,68,,81
71,,,44,62
,26,71,34,58
95,46,,18,67
22,98,32,30,18
,80,77,44,6
90,96,97,32,
,11,7,93,40
41,82,13,67,69
,75,31,87,38
48,90,,,41
79,44,,99,9
89,,58,,34
76,67,,97,98
75,,,96,68
98,40,72,14,58
39,,,81,87
98,,97,91,
,86,,26,
66,12,42,79,1
23,64,9,,95
3,46,18,,22
6,72,52,94,
,10,56,71,42
60,76,53,62,64
27,,34,24,64
1,56,70,31,76
48,14,34,51,
99,,26,61,43
68,,70,51,37
77,33,91,45,26
40,67,52,66,
27,26,36,66,72
42,89,64,76,65
82,5,8,42,11
26,55,34,74,96
13,77,23,23,97
65,30,69,16,25
38,67,5,86,3
27,20,19,46,43
33,24,79,3,6
24,,,39,93
67,,94,28,
72,78,91,25,
5,79,,7,63
17,,,,43
35,23,38,,85
53,47,,22,4
,21,10,99,
75,,19,51,71
96,52,64,58,84
,67,36,,45
62,92,20,65,80
98,32,80,77,90
56,,90,44,96
,60,,52,38
98,64,,16,
96,49,24,98,73
42,16,39,99,7
57,35,24,71,
19,13,24,77,54
83,,,60,40
57,57,,3,76
45,30,68,75,29
,39,76,28,24
55,39,,96,
0,26,,,59
43,51,,82,33
41,96,80,,45
6,21,23,97,50
25,87,74,34,21
1,40,,78,70
,,79,,9
39,32,19,,6
73,,41,59,
0,42,40,,25
31,26,,65,99
66,,73,,
,70,,13,5
,84,0,80,67
36,31,55,,
89,95,42,,13
25,47,41,15,36
78,19,,27,
,6,4,58,70
15,,18,41,
82,62,38,57,33
68,,54,,99
79,49,59,40,83
15,,97,64,
78,74,36,,12
18,96,75,,25
80,87,21,13,
64,78,67,28,51
,,68,,64
35,55,32,26,0
,14,,79,3
29,61,68,64,1
93,77,84,89,69
,,63,85,86
96,,,,59
76,0,93,2,14
44,,61,,
88,62,34,38,38
57,95,22,93,82
34,45,86,,48
23,,22,73,58
88,,45,44,65
31,15,,,7
43,85,11,39,
49,89,97,5,24
89,14,94,37,43
64,38,28,77,69
69,73,,70,33
61,5,96,19,65
,60,94,5,27
60,71,15,89,15
76,,59,13,65
64,9,90,10,55
16,,,,25
54,72,,,2
8,45,,78,35
44,37,15,,32
83,41,75,24,
66,68,,8,68
23,,10,75,96
41,23,70,,79
,3,77,88,68
54,61,35,15,0
95,81,83,10,74
,18,35,13,99
73,13,53,21,96
11,62,,99,
9,,34,67,13
,,,43,69
77,,98,34,46
,55,28,65,93
72,82,84,27,39
94,27,31,70,99
13,,69,,
79,11,3,76,
38,71,44,86,38
37,,37,99,9
,2,51,99,
82,84,61,22,3
,75,,12,
49,28,89,81,85
25,79,,2,
63,,2,30,85
,98,,48,29
61,39,12,78,52
,55,,,95
,,54,,12
89,21,77,95,78
92,,,88,12
,2,34,60,3
5,28,,33,
10,17,,,42
59,56,26,,
45,,,24,22
25,55,83,31,2
44,1,48,0,80
14,56,83,67,14
38,39,,,97
17,29,80,48,91
33,77,86,7,17
79,64,71,11,
,1,10,6,62
,53,,24,99
15,81,82,65,78
50,57,0,23,89
,,,,5
,30,,41,76
20,83,5,22,52
34,38,62,,63
,82,,53,35
56,0,43,63,64
,21,31,,
14,97,56,77,62
,77,15,0,13
75,72,1,,79
17,25,2,35,1
97,54,40,5,
22,75,63,37,71
,27,53,49,76
14,97,,52,
84,55,30,91,6
65,10,16,82,90
25,16,43,,84
54,50,21,,64
,71,86,,51
44,,,66,
,94,96,30,1
14,18,56,39,
,64,,16,88
85,16,25,,70
81,60,96,46,55
97,81,,45,74
7,13,85,33,29
81,49,,32,60
,16,91,62,42
94,,1,,94
14,75,95,70,38
,17,55,34,2
99,88,41,,42
,,50,,25
,82,4,47,38
36,99,52,72,33
40,59,24,20,99
,,43,,47
59,41,65,,39
68,43,93,41,
66,87,74,40,15
7,27,92,91,60
97,83,47,3,26
99,30,33,58,0
98,36,73,94,86
79,59,,7,97
,53,67,25,88
75,56,96,,70
92,8,,93,77
14,,53,38,
22,67,0,0,
,49,,71,1
54,,62,61,18
,17,21,6,51
,93,95,13,23
17,82,85,70,91
24,78,,62,11
14,86,55,,64
94,98,18,9,79
51,12,80,30,
6,21,81,75,12
2,,90,31,9
13,,,59,40
23,,76,68,98
6,87,98,48,81
48,86,3,11,35
8,,,24,55
43,,,28,68
21,43,94,93,82
56,65,38,67,52
51,86,62,45,61
17,,,85,53
7,77,29,,67
23,69,25,2,40
65,93,,76,9
36,41,99,7,61
95,87,47,95,5
66,81,31,47,71
69,20,52,29,
,23,,10,
13,41,25,57,6
67,96,11,47,76
52,59,98,,67
59,7,25,95,84
40,69,,,5
56,12,89,16,17
36,92,68,65,
60,11,68,32,55
68,98,3,,22
86,69,,62,
62,87,44,0,
85,46,80,31,21
33,57,3,74,22
44,98,3,72,87
3,18,13,65,77
79,4,14,33,34
25,72,6,,79
0,99,76,87,15
52,10,7,77,80
49,92,9,,85
14,30,80,49,90
46,76,,,56
16,61,21,75,7
84,23,75,,56
21,48,33,22,4
39,78,46,32,37
52,67,53,21,
,63,64,,98
27,,,20,67
17,64,,,14
,60,79,,
59,77,32,,15
,1,,,67
91,20,63,67,80
10,11,77,88,
20,18,46,37,
10,3,9,55,90
,70,43,63,8
,62,20,48,46
93,19,6,6,46
89,84,7,66,99
46,77,63,9,53
83,48,51,25,70
,59,,82,40
56,26,,4,37
,49,78,2,36
81,,52,29,45
94,,43,13,22
74,25,58,31,8
63,86,8,97,26
88,5,33,71,19
34,,59,88,
,43,88,22,97
31,46,30,46,38
53,15,,9,
80,14,90,17,47
12,58,86,85,10
,,,52,
0,52,34,45,14
7,15,71,99,71
35,2,,1,16
30,54,11,19,78
,14,90,29,
29,28,27,,73
19,90,98,,83
,,5,,64
46,83,15,5,68
34,40,,60,19
75,62,31,61,63
,17,56,54,40
79,,,,23
,83,,17,82
34,4,51,28,
7,,62,26,61
5,,,99,11
3,,85,8,14
,81,4,40,
2,78,58,,35
57,4,34,98,94
17,,21,,54
71,,23,,2
20,,56,9,34
26,77,,,52
9,75,29,85,90
20,10,72,,28
2,90,46,,81
,34,53,,
38,,,92,83
72,17,20,55,66
4,78,94,,29
61,25,76,,39
43,,15,,15
26,91,,96,95
1,67,93,68,
45,,84,82,
,56,13,,84
28,,35,,36
40,34,,53,80
66,,48,,
28,60,36,,64
85,,58,82,2
67,69,17,60,32
55,57,24,,
62,25,95,49,62
52,,20,,15
86,2,,,
,41,60,29,90
30,81,39,,92
60,11,28,65,34
90,28,34,94,25
,,47,62,30
39,15,36,78,
43,92,59,56,18
87,79,37,52,23
,30,80,20,72
81,42,22,10,27
24,90,59,,19
21,,79,48,
68,90,58,10,42
19,8,73,13,47
,67,46,84,83
,2,63,69,
79,56,49,69,78
85,5,,73,80
35,,68,70,56
40,77,8,81,38
30,8,25,10,87
38,96,40,38,
94,76,,96,
77,23,71,,87
51,23,58,11,7
19,62,40,30,88
,74,37,34,38
96,22,27,,
,6,24,43,81
,12,,39,85
31,,40,50,
72,53,83,7,41
16,17,68,,66
,60,94,21,
43,70,96,22,84
37,7,90,85,60
96,77,87,40,
13,79,83,33,71
69,1,,70,36
,97,17,,63
,3,12,5,54
,,73,52,49
,94,,30,
28,59,24,64,26
12,,5,49,86
58,66,92,2,74
97,,61,13,97
,24,98,,3
,50,68,92,17
88,1,,98,15
53,45,,,75
28,35,12,,65
92,83,42,30,35
43,99,66,48,35
93,,38,40,92
,41,74,,
97,61,42,46,7
69,31,35,81,63
84,86,30,25,52
,50,83,52,29
,42,51,,87
51,62,15,31,6
49,12,33,,16
,4,58,18,
92,39,44,53,86
20,37,60,93,82
73,2,,77,4
20,88,96,,67
46,64,65,48,50
87,97,,99,
77,39,17,61,92
87,75,14,1,
49,91,93,,55
87,90,52,,69
,99,41,77,21
56,72,73,89,71
52,68,81,,
88,3,42,,84
,1,0,36,
10,45,,59,48
67,,72,74,68
,,18,62,43
26,,98,21,4
71,,,90,51
62,51,,39,55
,17,22,10,4
83,,,22,50
50,36,,,
69,1,13,66,74
,,61,71,
97,9,60,65,1
13,0,89,32,90
64,64,96,76,2
58,78,19,,84
29,64,85,37,27
52,,34,15,
,66,,,14
93,58,,9,3
99,68,52,73,
74,92,70,,
18,62,42,66,76
11,88,,,
,30,38,61,
53,,58,,
8,9,99,52,61
4,48,28,96,51
95,,70,50,25
98,,43,94,87
,48,23,,54
60,86,85,25,
93,68,18,20,
,56,19,72,12
67,51,31,81,
,69,15,5,81
50,87,34,14,46
,58,90,35,60
66,26,,48,37
29,78,21,41,9
10,42,14,22,61
,98,9,3,73
,27,40,58,71
17,54,36,60,23
,,91,83,7
68,82,13,,53
52,,,33,
,5,,56,6
11,49,62,,30
85,61,41,10,30
,64,52,72,47
83,79,51,89,85
45,,92,,34
,28,81,6,27
21,79,67,29,84
52,42,44,,36
95,83,,25,73
,0,30,43,52
9,61,,60,12
86,41,31,42,11
70,99,85,,69
,22,99,44,4
75,9,53,20,62
96,30,58,,44
,14,45,83,73
10,32,95,,48
,34,30,29,
88,,32,99,
44,69,57,0,
,29,34,65,12
33,50,,39,83
,,19,,2
17,25,94,4,28
3,41,15,59,69
,56,77,66,
94,14,59,,53
34,23,81,13,33
,,57,5,40
42,79,0,42,37
41,,76,0,51
62,52,6,8,57
3,65,19,9,37
34,63,96,95,
47,,96,2,20
65,34,,,
36,88,,10,51
,47,91,2,61
,30,37,67,28
72,,50,,38
26,85,23,25,72
39,32,45,49,13
86,,58,,9
14,86,,,19
52,57,15,35,90
11,,24,,66
9,95,23,67,51
80,84,15,58,39
80,74,71,,28
82,97,99,59,83
61,49,32,48,41
,35,,9,16
,45,50,34,49
45,35,,,63
15,2,87,6,42
31,68,,,16
,51,13,44,
58,21,50,67,28
36,76,86,,55
,69,47,57,47
91,98,16,71,56
,85,57,,36
,9,67,30,93
30,11,32,89,48
54,65,37,87,70
31,37,38,86,78
33,20,,,76
34,97,41,,
,70,85,5,65
0,34,48,3,34
55,24,22,41,91
93,18,45,,51
57,66,,37,47
33,89,68,33,63
1,,95,,
72,51,67,22,
55,13,12,84,35
15,,,43,35
41,20,34,52,88
81,98,,11,6
,7,78,,
2,68,28,0,
,70,93,25,81
13,36,82,79,88
13,80,56,54,59
33,89,34,62,59
84,20,27,15,92
65,54,21,95,95
29,25,32,1,20
39,33,25,61,68
45,59,80,10,56
31,34,4,17,
,67,41,59,62
9,75,65,54,14
23,70,56,12,70
67,67,32,37,76
13,31,40,23,43
59,,30,,34
,,65,,32
,41,61,,
4,,45,87,39
0,34,29,64,
69,21,61,,
,38,,13,86
70,65,,90,28
41,25,22,75,74
,26,17,97,33
63,,33,53,23
55,69,10,2,46
85,,99,20,
17,,,18,
,50,95,14,26
,36,50,24,54
90,92,71,29,14
43,74,12,91,59
,,90,21,19
,74,61,,72
71,25,59,48,65
79,47,99,82,
4,,51,4,63
27,33,37,85,28
,94,10,,49
1,39,36,40,72
31,78,72,,9
43,0,38,,49
11,94,31,23,
64,78,87,88,86
5,72,3,,42
96,11,90,20,40
89,8,,,32
7,25,,21,33
53,67,55,,63
38,70,27,24,5
55,86,16,,
33,34,5,26,48
57,35,95,73,66
58,46,9,76,
47,78,61,4,64
,51,15,,10
55,60,91,0,41
80,79,94,27,
31,,61,12,29
29,93,72,,
